Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,148,12,P:System.Windows.Forms.Form.ShowIcon,,,,,this.ShowIcon = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,147,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""frmDBConfig"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,146,12,T:System.Windows.Forms.ListView,,,,,this.Controls.Add(this.lstDbs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,146,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.lstDbs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,146,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.lstDbs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,146,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.lstDbs);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,145,12,T:System.Windows.Forms.ToolStrip,,,,,this.Controls.Add(this.toolStrip1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,145,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.toolStrip1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,145,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.toolStrip1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,145,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.toolStrip1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,HASH\HASH.csproj,File,HASH\UI\frmDBConfig.Designer.cs,144,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(528, 255);"
